0,1,2,3,4,5,Meta-Llama-3-8B-Instruct_correct,Meta-Llama-3-8B-Instruct_choiceA_probs,Meta-Llama-3-8B-Instruct_choiceB_probs,Meta-Llama-3-8B-Instruct_choiceC_probs,Meta-Llama-3-8B-Instruct_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,True,0.020935005,0.43214723,0.44586506,0.10105262
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.068233676,0.3019444,0.40631062,0.22351123
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,True,0.045292247,0.34664184,0.47751933,0.13054653
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,False,0.12682319,0.50257605,0.28136954,0.089231245
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,True,0.05250946,0.2888974,0.43708777,0.2215053
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.17327252,0.44506708,0.28484237,0.09681814
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,True,0.03207295,0.3431371,0.42247823,0.20231175
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.108513474,0.49013793,0.32906306,0.072285555
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.03614444,0.57373726,0.2639618,0.1261565
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.061756358,0.5231748,0.2610216,0.15404727
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.040094484,0.44127855,0.4517432,0.066883855
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.039858244,0.35664308,0.44558665,0.15791205
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.034892842,0.25087076,0.5835769,0.13065945
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.044975758,0.23843396,0.46865815,0.24793208
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,True,0.07292908,0.42963025,0.41317138,0.08426939
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.027653918,0.515964,0.36355817,0.092823975
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.026802016,0.3290763,0.4934596,0.15066211
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.05515595,0.47461712,0.34689835,0.12332858
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.07838007,0.42309842,0.33388227,0.16463932
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,True,0.06893909,0.48417288,0.33800712,0.10888089
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.059874535,0.32749406,0.45114216,0.16148928
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.08046358,0.44835177,0.35502195,0.11616274
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,False,0.048008814,0.33734012,0.5161434,0.09850769
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,True,0.08260476,0.5471332,0.28164005,0.088621974
