0,1,2,3,4,5,Meta-Llama-3-8B-Instruct_correct,Meta-Llama-3-8B-Instruct_choiceA_probs,Meta-Llama-3-8B-Instruct_choiceB_probs,Meta-Llama-3-8B-Instruct_choiceC_probs,Meta-Llama-3-8B-Instruct_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.0014274165,0.0019817718,0.99499846,0.0015923982
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,True,0.00073131087,0.9980799,0.00073131087,0.00045764263
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,True,0.000249151,0.00027363884,5.3463362e-05,0.99942374
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.082099915,0.09598452,0.28655687,0.53535867
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,5.4512413e-05,0.9993243,8.5425716e-05,0.00053570553
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.00085483206,0.00093884935,0.9978967,0.00030959965
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.00027792246,0.00014876116,0.9993318,0.00024146322
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,True,0.8789604,0.06777815,0.012151952,0.041109525
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.9987078,0.00016328016,0.0002734428,0.0008555268
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,True,0.19579203,0.7743725,0.01104583,0.018789591
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,True,0.53441006,0.0073884167,0.44304147,0.015160047
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.09941853,0.17448495,0.5721141,0.15398243
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,True,0.3821472,0.47558987,0.04564097,0.096621946
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,True,0.040999502,0.7498026,0.08679595,0.12240191
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.99921155,0.00037394057,0.00015346488,0.00026105257
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.00019713673,0.999637,0.000105519684,6.0358616e-05
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.95184845,0.014453055,0.005839562,0.027858993
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.3945297,0.2886441,0.04567013,0.27115604
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,True,0.94030654,0.024287356,0.027521182,0.00788495
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.9997297,9.533793e-05,2.4870384e-05,0.00014998761
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,True,0.0006963918,0.0027976567,0.00047120228,0.9960348
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.99908566,0.0003652322,0.00022677783,0.00032231628
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,True,0.0010317266,0.00021966726,0.99847955,0.00026914195
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.18223459,0.17119354,0.04904777,0.59752417
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,True,0.017260974,0.011863282,0.028458534,0.9424172
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.0055477545,0.0011096207,0.99316144,0.00018114058
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.00030973586,0.0012060368,0.99833566,0.00014861287
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.0005521369,0.00062565313,0.998287,0.0005351495
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.21160986,0.27171245,0.44797808,0.068699665
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.8506947,0.015581017,0.0032659585,0.13045827
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.7717705,0.18331155,0.011008714,0.033909228
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.036347616,0.072285876,0.010744335,0.8806222
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,True,0.051159155,0.0053921356,0.9356032,0.00784551
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,True,0.050842963,0.25820187,0.17745939,0.51349574
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.0005880546,0.0003856556,0.99880993,0.0002163332
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.00026932525,0.00035126635,0.9991596,0.00021981687
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.0007203836,0.00048743593,0.9986492,0.00014296449
What do you call a young cow?,mare,lamb,kid,calf,D,True,3.9130602e-05,3.295127e-05,9.6095486e-05,0.9998318
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.002329307,0.98480713,0.011287499,0.0015760879
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.00023767678,0.99915147,0.0002651476,0.00034581768
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.0010780825,0.0019521551,0.9955636,0.0014060847
