0,1,2,3,4,5,Meta-Llama-3-8B-Instruct_correct,Meta-Llama-3-8B-Instruct_choiceA_probs,Meta-Llama-3-8B-Instruct_choiceB_probs,Meta-Llama-3-8B-Instruct_choiceC_probs,Meta-Llama-3-8B-Instruct_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.193549,0.217613,0.25441536,0.33442268
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.022486864,0.19274515,0.44989988,0.3348682
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.075328626,0.28428724,0.25483346,0.38555068
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.044693876,0.20030406,0.51149434,0.2435078
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.017969344,0.6471975,0.10180326,0.23302999
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.14490046,0.16419373,0.43259287,0.258313
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,True,0.11162316,0.25154668,0.44843045,0.18839976
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.16502535,0.18994302,0.21024774,0.43478388
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.06668496,0.08562519,0.12654582,0.721144
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.04952443,0.10817129,0.45541817,0.386886
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.094620116,0.24351598,0.37716493,0.28469902
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.03491861,0.20611012,0.4896275,0.26934382
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.07915133,0.35473165,0.3106134,0.25550362
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.069196366,0.21990559,0.44770557,0.2631925
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.12527826,0.16596675,0.34054166,0.36821333
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.060617004,0.3742365,0.22172779,0.34341872
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.26135978,0.15606505,0.3252675,0.25730777
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.10159706,0.5365057,0.21174648,0.15015073
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.096892275,0.2474231,0.3923041,0.2633805
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.049621053,0.12770562,0.38726246,0.4354109
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,True,0.110978514,0.2662236,0.32112697,0.30167088
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.19983937,0.21272789,0.41650102,0.17093167
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.24501762,0.20312673,0.3455302,0.2063255
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.044146847,0.4012372,0.38137054,0.17324539
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.11948051,0.24901877,0.3403683,0.29113242
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.09371645,0.20791903,0.25474772,0.44361684
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,True,0.08432335,0.129081,0.27206624,0.51452935
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.14440852,0.31541723,0.25743604,0.28273818
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,False,0.1346283,0.21180004,0.3229565,0.3306152
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.3659441,0.07262383,0.27194655,0.2894856
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.073405966,0.28919435,0.4585349,0.17886479
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.15182318,0.29264686,0.24643335,0.30909666
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.081568524,0.42076245,0.27594274,0.22172624
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,False,0.5653822,0.142951,0.23568635,0.055980418
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,True,0.12563853,0.19157588,0.26597676,0.41680884
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,False,0.21313702,0.08679055,0.3486689,0.35140353
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,False,0.107113086,0.26304433,0.48570618,0.14413641
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,True,0.048277542,0.06650513,0.09378726,0.79143006
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,True,0.19818377,0.122097485,0.34782335,0.33189535
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,True,0.14641476,0.20327677,0.36808667,0.28222185
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,True,0.011911002,0.44958362,0.21782947,0.320676
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",w > 2.3,w < 2.4,w > 3.2,w < 3.3,D,True,0.07179171,0.2168569,0.19745044,0.513901
Which number has an absolute value greater than 5?,-6,-5,0,5,A,False,0.11115312,0.22453547,0.3069036,0.3574078
What is the value of the expression 2(3(4^2 + 1)) - 2^3?,156,110,94,48,C,True,0.089528285,0.2065396,0.39022467,0.31370747
"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","15, 17","15, 19","17, 19","17, 21",D,False,0.09516001,0.35046846,0.3457095,0.20866206
If 3 cans of pears cost $2.37 how many cans of pears can you buy for $9.48?,3 cans,12 cans,36 cans,13 cans,B,True,0.042041168,0.4750661,0.22027995,0.26261273
"Order from greatest to least: 3, 3 and 1 over 8,3.8,3.18.","3.18, 3 and 1 over 8, 3.8,3","3,3 and 1 over 8, 3.18, 3","3.8, 3 and 1 over 8, 3.18, 3","3.8, 3.18, 3 and 1 over 8, 3",D,False,0.15314971,0.15556146,0.36452803,0.3267608
Compute 22 / 2 + 9.,10,11,20,2,C,True,0.11713536,0.30861056,0.3184069,0.25584716
"The population of a certain city is 836,527. What is the population of this city rounded to the nearest ten thousand?","800,000","830,000","836,000","840,000",D,True,0.1592215,0.23166591,0.29979795,0.30931458
Find the product of 5 • (−9).,14,−4,45,−45,D,True,0.05175489,0.21789622,0.23931219,0.4910367
"Keiko spent the day bird watching and counted 34 more birds in the morning than in the afternoon. If she counted a total of 76 birds, how many birds did she count in the afternoon?",21 birds,40 birds,42 birds,84 birds,A,False,0.0703921,0.21180025,0.64984727,0.06796038
What is the value of 5 + 2 • 15 + (12 • 4)?,78,83,131,153,B,False,0.09838847,0.18381386,0.43751505,0.28028268
Which situation can be represented by the fraction 20/8?,Leslie spent 20 dollars and 8 cents at a store. How is the amount of money Leslie spent written as a fraction?,Mr. Kramer’s 8 grandchildren shared 20 crackers equally. How many crackers did each grandchild get?,Mitch bought 20 containers of flowers at a plant store. Each container had 8 flowers in it. How many flowers did Mitch buy?,Stamps are sold in booklets of 20 stamps. Donna used 8 stamps to send invitations for a party. How many booklets of stamps did Donna use to send her invitations?,B,False,0.16373484,0.29188892,0.32057726,0.22379899
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",120 miles,80 miles,26 miles,12 miles,A,True,0.42135465,0.28959253,0.17564675,0.11340607
Which step explains how to find the value of a in 6a = 72?,add 6 to both sides,divide both sides by 6,multiply both sides by 6,subtract 6 from both sides,B,True,0.098357506,0.47291768,0.2018165,0.22690837
"Coach Wu has a total of 30 soccerballs. 9 soccer balls are white. The remaining soccer balls are one of three different colors (blue, pink, or green). There is an equal numberof blue, pink, and green balls How many green soccer balls does Coach Wu have?",7,10,21,39,A,False,0.100384146,0.31653753,0.40963,0.17344825
The temperature dropped 11°F between 6 P.M. and 10 P.M. It was 84°F at 10 P.M. Write and solve an equation to find t the temperature at 6 P.M.,84 − 11 = t; 73°F,t − 84 = 11; 95°F,84 − t = 11; 73°F,t − 11 = 84; 95°F,D,True,0.054471646,0.18000647,0.35106155,0.4144603
