0,1,2,3,4,5,Meta-Llama-3-8B-Instruct_correct,Meta-Llama-3-8B-Instruct_choiceA_probs,Meta-Llama-3-8B-Instruct_choiceB_probs,Meta-Llama-3-8B-Instruct_choiceC_probs,Meta-Llama-3-8B-Instruct_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.27350375,0.6561014,0.029742153,0.040652703
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.076143555,0.38668886,0.41162816,0.1255395
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.0555023,0.54330695,0.1103795,0.29081127
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.038146302,0.28186515,0.33999428,0.33999428
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.008613189,0.9649195,0.0015442597,0.02492309
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.03786282,0.20468444,0.4199852,0.3374676
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,True,0.09466132,0.35170946,0.4242426,0.12938668
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.18736215,0.19944598,0.24057776,0.37261412
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.04995513,0.034333628,0.0021273461,0.91358393
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.07877258,0.08926103,0.12987404,0.70209235
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.10851271,0.4291761,0.31399196,0.14831929
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.02363123,0.20414269,0.55491734,0.21730874
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.20084059,0.7462133,0.021168442,0.031777594
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.19739848,0.32545507,0.25346467,0.2236818
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.16922632,0.16922632,0.14029355,0.52125376
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.025151296,0.5906121,0.18012652,0.2041101
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,True,0.32311812,0.4416501,0.18410714,0.05112471
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.016766455,0.97445685,0.0020024676,0.0067742607
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,True,0.012239386,0.19145623,0.08495818,0.71134615
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.03151402,0.09118884,0.1600414,0.7172558
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.10565428,0.4885404,0.27836195,0.12744339
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.034516867,0.3174112,0.50722164,0.14085037
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.8076471,0.17466594,0.011520467,0.006166462
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,True,0.01518121,0.19687292,0.5351561,0.25278983
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,True,0.13219428,0.63066363,0.2047465,0.0323956
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.048838343,0.6138593,0.047335748,0.28996658
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,True,0.14000216,0.028443167,0.025897799,0.80565685
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.06084324,0.81407356,0.014910278,0.110172875
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.9423081,0.026731225,0.004229494,0.026731225
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.9835528,0.0034922503,0.0009547281,0.012000176
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,True,0.10049435,0.38523418,0.38523418,0.12903729
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,True,0.3028042,0.4405775,0.08408569,0.17253263
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.038448542,0.6402257,0.19525781,0.12606792
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,True,0.11946445,0.26921728,0.32473803,0.2865803
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,True,0.06739298,0.3020344,0.029905453,0.6006671
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,True,0.5555562,0.07063104,0.16943507,0.2043777
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,True,0.5413954,0.24024276,0.19304048,0.025321402
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,True,0.00056022516,0.0021142678,0.00011835059,0.9972071
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,False,0.08538042,0.102988444,0.18075036,0.6308807
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,False,0.20882104,0.6846978,0.07445744,0.032023743
