0,1,2,3,4,5,Meta-Llama-3-8B-Instruct_correct,Meta-Llama-3-8B-Instruct_choiceA_probs,Meta-Llama-3-8B-Instruct_choiceB_probs,Meta-Llama-3-8B-Instruct_choiceC_probs,Meta-Llama-3-8B-Instruct_choiceD_probs
 What can murtis be translated as?,Offerings,Prayers,Apparitions,Idols,D,True,0.0055429596,0.0005155755,0.0016384956,0.992303
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,Daoism,Yin-Yang School,Mengzi,Humanistic Buddhism,B,False,0.8442623,0.14219697,0.0041618645,0.009378907
 When was the first Buddhist temple constructed in Japan?,325 CE,119 CE,451 CE,596 CE,D,False,0.46127385,0.29782078,0.048617903,0.19228755
 What is the name of the ten day New Year festival that celebrated Babylon's culture?,Akitu,Wag and Thoth,Bast,Nehebkau,A,True,0.9998684,7.0307535e-05,2.7532826e-05,3.3733922e-05
Which of the following terms denote the Japanese art of flower arranging?,Zazen,Tariki,Kami,Ikebana,D,True,1.7777555e-05,2.5866188e-05,3.0240637e-05,0.9999261
 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,Harmony and balance,Devotion and piety,Love and passion,Goodwill and love,A,False,0.049958047,0.88552755,0.00790451,0.05660988
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",Shabad,Khalse,Nam,Guru,A,True,0.9894471,0.00072498544,0.0094017545,0.00042619696
What is the mi'raj?,Muhammad's miraculous ascent to heaven,Muhammad's migration to Mecca,Muhammad's first community in Mecca,Muhammad's revelations of the Qur'an,A,True,0.9999392,4.331828e-05,7.2392113e-06,1.0248881e-05
"What is the name of the most famous dharmashastras, which probably dates from around the first century?",Laws of Dharma,Laws of Karma,Laws of Vishnu,Laws of Manu,D,True,0.00034592333,0.00013129768,6.602062e-05,0.9994567
"What does the term ""Qur'an"" literally mean?",The Holy Book,The Narrative,The Recitation,The Pillars,C,True,0.0023216815,0.0006248721,0.9970408,1.2569799e-05
 Mani referred to God by which of the following names?,Mother of Light,Father of Goodness,Ineffable Lover,Eternal Spirit,B,False,0.98321486,0.0028493125,0.0087765,0.005159438
" Which tradition is known to promote ""gradual enlightenment""?",Bushido,Shinto,Nichiren,Soto Zen,D,True,0.011093717,0.007624592,0.013381577,0.9679001
What is the communal meal offered at the place of worship called in Sikhism?,Sangat,Langar,Gurdwara,Panth,B,True,0.00047277712,0.9993637,0.00010883947,5.4727923e-05
To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,Buddhism,Daoism,Confucianism,Shamanism,B,True,0.00096901867,0.9982748,0.00051867834,0.00023746824
"What does the word ""Islam"" mean in Arabic?",Worship,Submission,Obedience,Faith,B,True,0.0007320871,0.9991393,7.7161414e-05,5.1400584e-05
What does the term anatman mean?,Suffering,Soul,Impermanence,No-self,D,True,6.399757e-05,0.00026115004,9.025103e-05,0.9995846
 What genre of Sikh literature is denoted by the term janam-sakhis?,Spiritual narratives,Redemption narratives,Birth narratives,Theological narratives,C,True,0.039504882,0.001847668,0.9571157,0.0015317705
Pure Land Buddhism belongs to which school?,Vajrayana,Theravada,Mahayana,Mahavira,C,True,0.0010640402,0.00080317975,0.9980698,6.29099e-05
 Which Jaina group only allows women to lead a life of semi-renunciation?,Svetambara,Jina,Agama,Digambara,D,True,0.18163696,0.002935888,0.0013868153,0.81404036
What is the most important prayer in Judaism?,The Shema,The Sefirot,Deuteronomy,The Decalogue,A,True,0.99955624,0.00033531376,3.2431468e-05,7.599684e-05
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,Brahminic orthodoxy,Legalistic asceticism,Bhakti devotionals,Unorthodox practices,A,True,0.9988029,0.00091079035,0.0001353769,0.00015102384
 Which early battle led to the conversion of Mecca?,The Battle of Uhud,The Battle of Camel,The Battle of the Trench,The Battle of Badr,C,False,0.00037981346,0.00031487638,0.00013542666,0.99916995
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,Remembering the Divine Name,Meditating on the sacred hymns,Remembering that death is inevitable,Meditating on the goodness of the created world,A,True,0.98140943,0.013150893,0.0008949296,0.004544827
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",Confucianism,Buddhism,Christianity,Daoism,A,True,0.7990835,0.089654684,0.095436916,0.01582499
"What is the meaning of the Punjabi word ""Sikh""?",Disciple,Faithful,Devotee,Enlightened,A,True,0.9993637,0.00021986177,0.0001822718,0.00023404164
 Which of the following shuns politics?,The sages of the Zhuangzi,The Songs of the South,The Duke of Zhou,"The Confucian ""sage kings""",A,True,0.99072826,0.006173805,0.0007910673,0.0023069822
What does the Hebrew word mashiach mean?,Anointed one,God,Prophet,The line of David,A,True,0.9997309,0.00016863582,3.5347985e-05,6.5014894e-05
"According to Jaina traditions, what does the term ajiva mean?",Soul,Sound,Non-matter,Non-soul,D,False,0.11779806,0.027118653,0.7216006,0.1334827
" In the Japanese Zen tradition, what is zazen?",A collection of statues,Veneration of ancestors,Seated meditation,Funeral rituals,C,True,0.00010552281,0.00017950036,0.9996667,4.8311864e-05
 What is a central component of tantric Buddhism?,Asceticism,Bodily pleasure,Music,Sexual union,D,True,0.011633517,0.17095329,0.0018406899,0.81557256
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Loving and forgiving,Wrathful and merciful,Judging and vengeful,Transcendent and immanent,B,False,0.068635136,0.13649726,0.53985715,0.25501046
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,True,0.96983486,0.018908769,0.008657065,0.0025993225
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,True,0.98210806,0.016378202,0.00045031917,0.0010635116
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,True,0.99845266,0.00037365654,0.0002489089,0.00092480885
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.9996611,0.00018519726,4.8311595e-05,0.000105522224
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,True,0.99983156,8.348918e-05,1.8922317e-05,6.604538e-05
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,True,0.99925345,0.0002958237,0.00021307384,0.00023770104
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,True,9.027351e-05,0.9998336,4.6833284e-05,2.9307519e-05
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.9998281,0.00013551586,1.8340077e-05,1.805574e-05
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.00047255188,0.0005524691,0.9988876,8.741331e-05
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,True,0.028837303,0.9549603,0.009965905,0.006236504
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.0016432821,0.0014055738,0.9952018,0.0017492648
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.9996382,0.0002098512,0.00014880678,3.0703432e-06
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.9909533,0.002871738,0.004589024,0.0015859243
" According to Jaina traditions, who were the caityavasis?",Householders who supported renouncers,Orthodox interpreters of the scriptures,Women ascetics who lived in communities,Temple-dwelling renouncers,D,False,0.539666,0.015309147,0.05019676,0.39482808
"Zhuangzi describes a state as ziran, which means which of the following?",Thoughtfulness,Non-action,Spontaneity,Meditation,C,True,0.004128346,0.43447,0.5578705,0.0035311615
" The mudras, which are an important feature of Buddhist art, are also known as what?",hand gestures,saints,religious clothing,temples,A,True,0.99991906,7.254301e-05,5.954693e-06,2.4153298e-06
 The Maccabean Revolt is associated with which ruler?,Julius Caesar,Alexander the Great,Cyrus of Persia,Antiochus IV Epiphanes,D,True,1.8922656e-05,9.0274945e-05,4.133088e-05,0.99984944
 How old was Guru Nanak when he started to preach the message of the divine Name?,30,40,33,52,A,False,0.17435579,0.09332593,0.6895905,0.042727724
The widely adored Egyptian goddess Hathor was depicted as which of the following?,Serpent,Eagle,Cheetah,Cow,D,True,0.035315696,0.0125922,0.041288234,0.91080385
What does the phrase Guru-Panth mean within the Sikh traditions?,Community,Scripture,Worship,Apprenticeship,A,True,0.8945542,0.010253053,0.0066198683,0.08857286
 After what event did the Rabbinical period begin within Judaism?,Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B,True,0.002321455,0.99694353,0.00035600667,0.00037896712
Which monk developed Pure Land Buddhism as we know it today?,Genshin,Dogen,Honen,Shinran,C,True,0.02893868,0.007316844,0.4818723,0.4818723
Which is the largest Muslim country in the world with more than 200 million adherents?,Pakistan,Iraq,Indonesia,Turkey,C,True,0.0010320641,8.211051e-05,0.99880624,7.958424e-05
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,Gregory,Augustine,Athanasius,Francis,A,True,0.9957569,0.0027108255,0.0007182972,0.0008139374
"Which of the following does the term ""Arhats"" refer to?",Enlightened being,Worthy ones,Saintly ones,Sages,A,False,0.01054408,0.9792771,0.00564384,0.0045349523
Which Guru was martyred when he refused to embrace Islam?,Guru Ram Das,Guru Tegh Bahadur,Guru Gobind Singh,Guru Har Rai,B,True,0.00012714321,0.99855465,0.0011332151,0.00018499228
 Which Guru donned the two swords symbolling temporal and spiritual authority?,Guru Nanak,Guru Arjan,Guru Hargobind,Guru Ram Das,C,True,0.00023042769,0.00022333817,0.9994267,0.00011954432
 Where is the key to liberation found within Sikhism?,In the community,In faith in God,In ascetic renunciation,In the life of the householder,D,True,0.06625773,0.38128692,0.031297933,0.5211574
Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,A,False,0.00039166686,0.99865204,0.0008291588,0.00012715562
 Which goddess is worshipped during the festival of Divali?,Durga,Sri Lakshmi,Kali,Mahavira,B,True,0.004749729,0.99409974,0.0009352771,0.000215313
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,China,Silla,Goguryeo,Joseon,B,False,0.9779508,0.008460932,0.0036963075,0.009891831
 To whom is the Yoga Sutras attributed?,Madhva,Patanjali,Ramanuja,Aryabhatta,B,True,5.649459e-05,0.99988437,3.3211458e-05,2.5865109e-05
 Which of the following does NOT describe the Ka'ba?,It was visited by Moses.,It is a haram.,It was built by Abraham.,It is a square building.,A,True,0.8372566,0.016842082,0.025282959,0.120618254
Which elephant-headed Hindu deity is often described as the most beloved?,Parvati,Ganesha,Vishnu,Sita,B,True,0.00011958931,0.9998029,4.8318445e-05,2.930662e-05
Sacred literature originated with which of the following jina?,Sri Lakshmi,Mahavira,Rsabha,Nanak,C,False,0.004465861,0.9346872,0.05975255,0.0010944061
 Who is the author of Admonitions for Women?,Ban Zhao,Laozi,Menicus,Liu Xiang,A,True,0.9986143,0.00036221894,0.00021969691,0.00080361794
How many female renouncers were under the tutelage of Chandanbala?,"36,000","12,000","24,000","7,000",A,True,0.8318184,0.048417635,0.10250014,0.017263839
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?",Ultimate Reality,The gurus,The community,Sikh worship,A,True,0.9997584,0.00017951684,2.8850978e-05,3.3207274e-05
 What term refers the divine order as an ell-embracing higher principle in Sikhism?,Sansar,Hukam,Mantar,Karam,B,True,0.00070937263,0.998871,0.00020323865,0.00021634642
 How many books are in the New Testament?,30,29,27,47,C,True,0.0012440413,0.0005695636,0.9981117,7.4710486e-05
Which form of Buddhism focuses on social engagement that attracts lay participation?,Zen Buddhism,Chan Buddhism,Humanistic Buddhism,Pure Land Buddhism,C,True,0.0012413193,0.0009081687,0.9959279,0.0019225931
 What was one of the distinctive beliefs or practices of the southerners (Digambara)?,They worshipped exclusively outside of the temple,They believed that nakedness was an elemental expression of non-attachment,They included women within the ranks of the leadership,They believed that the omniscient Jina must eat and sleep,B,True,0.0039339806,0.99317,0.0014931707,0.0014027042
The central prayer in Jainism is known by which of the following names?,Namokar Mantra,The Liberation Mantra,Ahimsa,Archaryas,A,True,0.99965286,0.00026945822,5.223686e-05,2.5458212e-05
When did the first Jaina temples appear?,Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B,False,0.050652426,0.10073438,0.8434386,0.005174471
How many Jinas have appeared during our age?,7,42,24,13,C,True,0.06658508,0.04299056,0.83692175,0.053502616
The title Dalai Lama means which of the following?,Ocean of Love,Lover of Wisdom,Ocean of Wisdom,Stillness of Love,C,True,0.014380536,0.007697346,0.9771358,0.0007863334
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?",Parvati,Sita,Sri (Lakshmi),Sarasvati,C,True,0.00041723996,0.00011954125,0.9994011,6.201718e-05
What is bhakti often translated as?,Gods,Yoga,Devotion,Religion,C,True,0.00053563464,0.0002452314,0.99919206,2.7087633e-05
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?",Vishnu,Ganesha,Sarasvati,Indra,C,True,5.4752796e-05,0.00011234544,0.9998179,1.4968582e-05
 What is the name of the Jewish prayer used for mourning since the Middle Ages?,The Shema,The Kaddish,The K'nesset,The Kippah,B,True,0.00019109574,0.999764,3.2185773e-05,1.2802616e-05
Krishna and Rama are incarnations of which Hindu god?,Shiva,Vishnu,Brahma,Ganesha,B,True,6.6049164e-05,0.9998889,2.3550556e-05,2.1443026e-05
 The kshatriyas is the caste name assigned to which group?,Priests,Servants,"Rulers, warriors",Merchants,C,True,0.00028674022,0.000356854,0.99931633,4.0037907e-05
When was the Old Babylonian version of Gilgamesh modified into the standard version?,Toward the end of the first millennium BCE,Towards the middle of the first millennium BCE,Toward the end of the second millennium BCE,Toward the middle of the second millennium BCE,C,True,0.31412694,0.19052762,0.35595244,0.13939297
 What is the meaning ofsamyak jnanawithin the Jaina traditions?,Correct knowledge,Correct practice,Correct intiution,Correct belief,C,False,0.9970041,0.0013647958,0.00053446175,0.0010966442
 What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,Ecumenical organization in India,Modern organization in the United States,Peacekeeping organization in Japan,A,True,0.9998839,6.204714e-05,1.2075465e-05,4.1983196e-05
Which mystic believed that evil was a distortion that reveals divine love more clearly?,Julian of Norwich,Catherine of Siena,Teresa of Avila,John of the Cross,A,False,0.021379689,0.0032786813,0.007623162,0.96771854
"In the Jaina traditions ""bad karma"" is known by which of the following terms?",Paap,Punya,Pudgala,Akash,A,True,0.9983359,0.0007089926,0.00038547258,0.00056969153
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,True,0.9999027,5.828899e-05,1.631322e-05,2.2648663e-05
"What does ""Mahavira"" mean?","""Great Hero""","""Master""","""The Lesser One""","""Mendicant""",A,True,0.99506843,0.0024665282,0.00035533708,0.0021097332
 What does the Tripitaka mean?,Three gems,Three baskets,Three bodhisattvas,Three buddhas,B,True,0.00031501902,0.9996226,2.5858337e-05,3.64661e-05
Where is the largest network of Confucian shrines in the world?,Indonesia,China,Korea,Singapore,C,True,0.00966906,0.24169607,0.7444763,0.004158611
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?",Female princesses,Female warriors,Female goddesses,Female poets,D,True,0.043624267,0.011029942,0.34313142,0.6022144
