0,1,2,3,4,5,Meta-Llama-3-8B-Instruct_correct,Meta-Llama-3-8B-Instruct_choiceA_probs,Meta-Llama-3-8B-Instruct_choiceB_probs,Meta-Llama-3-8B-Instruct_choiceC_probs,Meta-Llama-3-8B-Instruct_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.18540625,0.6888678,0.07260613,0.053119782
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.12433279,0.38297197,0.38297197,0.10972331
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.044972315,0.2932563,0.040947758,0.6208236
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.05787326,0.2848622,0.49994868,0.15731582
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.0069422405,0.9678959,0.0023991743,0.02276273
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.06587392,0.21599227,0.58712786,0.13100594
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.20523266,0.46249896,0.26352397,0.06874433
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.3265167,0.12786578,0.1980424,0.34757522
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.058352962,0.02756399,0.0012891849,0.91279393
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.09562583,0.069961354,0.45620534,0.3782075
